,DISTANCE,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME
3747,222,OO,EUG,"Eugene, OR",ACV,"Arcata/Eureka, CA"
3748,222,OO,FAT,"Fresno, CA",ONT,"Ontario, CA"
3749,222,QX,GEG,"Spokane, WA",PAE,"Everett, WA"
3750,222,QX,PAE,"Everett, WA",GEG,"Spokane, WA"
3751,222,FX,IND,"Indianapolis, IN",GRR,"Grand Rapids, MI"
3752,222,FX,GRR,"Grand Rapids, MI",IND,"Indianapolis, IN"
3753,222,GV,DUT,"Unalaska, AK",STG,"St. George Island, AK"
3754,222,GV,STG,"St. George Island, AK",DUT,"Unalaska, AK"
3755,222,9K,ORD,"Chicago, IL",UIN,"Quincy, IL"
3756,222,9K,UIN,"Quincy, IL",ORD,"Chicago, IL"
3757,222,8E,OME,"Nome, AK",IAN,"Kiana, AK"
3758,222,7S,SRV,"Stony River, AK",ANC,"Anchorage, AK"
3759,222,09Q,COU,"Columbia, MO",FYV,"Fayetteville, AR"
3760,222,09Q,FYV,"Fayetteville, AR",COU,"Columbia, MO"
3761,222,LF,FAT,"Fresno, CA",LGB,"Long Beach, CA"
3762,222,2EQ,MCG,"McGrath, AK",MRI,"Anchorage, AK"
3763,222,2EQ,MRI,"Anchorage, AK",MCG,"McGrath, AK"
3764,222,8E,OME,"Nome, AK",WTK,"Noatak, AK"
3765,222,8V,FAI,"Fairbanks, AK",ORT,"Northway, AK"
3766,222,8V,ORT,"Northway, AK",FAI,"Fairbanks, AK"
3767,222,LF,DTW,"Detroit, MI",PKB,"Parkersburg, WV"
3768,223,9E,MSP,"Minneapolis, MN",FAR,"Fargo, ND"
3769,223,9E,FAR,"Fargo, ND",MSP,"Minneapolis, MN"
3770,223,9E,TLH,"Tallahassee, FL",ATL,"Atlanta, GA"
3771,223,9E,ATL,"Atlanta, GA",TLH,"Tallahassee, FL"
3772,223,AX,ORD,"Chicago, IL",FNT,"Flint, MI"
3773,223,AX,FNT,"Flint, MI",ORD,"Chicago, IL"
3774,223,3EQ,LAS,"Las Vegas, NV",BUR,"Burbank, CA"
3775,223,3EQ,BUR,"Burbank, CA",LAS,"Las Vegas, NV"
3776,223,H6,UNK,"Unalakleet, AK",VAK,"Chevak, AK"
3777,223,H6,VAK,"Chevak, AK",UNK,"Unalakleet, AK"
3778,223,5X,BFI,"Seattle, WA",GEG,"Spokane, WA"
3779,223,5X,GEG,"Spokane, WA",BFI,"Seattle, WA"
3780,223,5X,ELP,"El Paso, TX",ABQ,"Albuquerque, NM"
3781,223,5X,ABQ,"Albuquerque, NM",ELP,"El Paso, TX"
3782,223,04Q,TEB,"Teterboro, NJ",IAD,"Washington, DC"
3783,223,27Q,IAD,"Washington, DC",TEB,"Teterboro, NJ"
